,Name of bill,Bill no.,Stage,Last activity,Select Committee
35,"Flags, Emblems, and Names Protection Amendment Bill  Bill - government",,RA,06 July 2010,
36,Immigration Advisers Licensing Amendment Bill  Bill - government,,RA,06 July 2010,
37,Incorporated Societies Amendment Bill  Bill - government,,RA,06 July 2010,
38,Insolvency Amendment Bill (No 2)  Bill - government,,RA,06 July 2010,
39,Juries Amendment Act 2008 Amendment Bill  Bill - government,,RA,06 July 2010,
40,Marriage Amendment Bill  Bill - government,,RA,06 July 2010,
41,Misuse of Drugs Amendment Bill (No 2)  Bill - government,,RA,06 July 2010,
42,National Parks Amendment Bill  Bill - government,,RA,06 July 2010,
43,New Zealand Institute of Chartered Accountants Amendment Bill  Bill - government,,RA,06 July 2010,
44,New Zealand Superannuation and Retirement Income Amendment Bill (No 3)  Bill - government,,RA,06 July 2010,
45,Property Law Amendment Bill  Bill - government,,RA,06 July 2010,
46,Protection of Personal and Property Rights Amendment Bill  Bill - government,,RA,06 July 2010,
47,Public Finance Amendment Bill  Bill - government,,RA,06 July 2010,
48,Public Records Amendment Bill  Bill - government,,RA,06 July 2010,
49,Radiocommunications Amendment Bill  Bill - government,,RA,06 July 2010,
0,Rates Rebate Amendment Bill  Bill - government,,RA,06 July 2010,
1,Real Estate Agents Amendment Bill  Bill - government,,RA,06 July 2010,
2,Securities Amendment Bill (No 2)  Bill - government,,RA,06 July 2010,
3,Sentencing Amendment Bill (No 4)  Bill - government,,RA,06 July 2010,
4,Social Security Amendment Bill (No 2)  Bill - government,,RA,06 July 2010,
5,Statistics Amendment Bill  Bill - government,,RA,06 July 2010,
6,Summary Proceedings Amendment Bill  Bill - government,,RA,06 July 2010,
7,Takeovers Amendment Bill  Bill - government,,RA,06 July 2010,
8,Taratahi Agricultural Training Centre (Wairarapa) Amendment Bill  Bill - government,,RA,06 July 2010,
9,Telecommunications Amendment Bill  Bill - government,,RA,06 July 2010,
10,Trans-Tasman Mutual Recognition Amendment Bill  Bill - government,,RA,06 July 2010,
11,Wild Animal Control Amendment Bill  Bill - government,,RA,06 July 2010,
12,Dog Control Amendment Bill (No 2)  Bill - government,176-2,CH,06 July 2010,Local Government and Environment Committee
13,Courts (Remote Participation) Bill  Bill - government,107-3,RA,06 July 2010,Justice and Electoral Committee
14,Animal Welfare Amendment Bill  Bill - government,118-2,RA,06 July 2010,Primary Production Committee
15,Financial Advisers Amendment Bill (No 2)  Bill - government,,RA,30 June 2010,
16,Financial Service Providers (Registration and Dispute Resolution) Amendment Bill  Bill - government,,RA,30 June 2010,
17,Tariff (Malaysia Free Trade Agreement) Amendment Bill  Bill - government,116-1,RA,30 June 2010,"Foreign Affairs, Defence and Trade Committee"
18,Prisoners' and Victims' Claims (Expiry and Application Dates) Amendment Bill  Bill - government,136-1,RA,30 June 2010,Justice and Electoral Committee
19,Civil Aviation (Cape Town Convention and Other Matters) Amendment Bill  Bill - government,166-1,RA,30 June 2010,
20,Policing (Involvement in Local Authority Elections) Amendment Bill  Bill - government,168-1,RA,30 June 2010,
21,Statutes Amendment Bill  Bill - government,101-1,3,29 June 2010,Government Administration Committee
22,Imprest Supply (First for 2010/11) Bill  Bill - government,178-1,RA,24 June 2010,
23,Appropriation (2009/10 Supplementary Estimates) Bill  Bill - government,157-1,RA,24 June 2010,
24,Financial Service Providers (Pre-Implementation Adjustments) Bill  Bill - government,109-2,3,23 June 2010,Commerce Committee
25,Electricity (Renewable Preference) Amendment Bill  Bill - member's,150-1,W,16 June 2010,
26,Local Electoral (Māori Representation) Amendment Bill  Bill - member's,151-1,W,16 June 2010,
27,Local Government (Auckland Transitional Provisions) Bill  Bill - government,112-3C,RA,14 June 2010,
28,Local Government (Tamaki Makaurau Reorganisation) Amendment Bill  Bill - government,112-3A,RA,14 June 2010,
29,Local Government (Auckland Council) Amendment Bill  Bill - government,112-3B,RA,14 June 2010,
30,Local Government (Auckland Law Reform) Bill  Bill - government,112-2,3,02 June 2010,Auckland Governance Legislation Committee
31,Oaths Modernisation Bill  Bill - government,264-1,CH,01 June 2010,Government Administration Committee
32,Sentencing and Parole Reform Bill  Bill - government,17-3,RA,31 May 2010,Law and Order Committee
33,Carter Observatory Act Repeal Bill  Bill - government,66-1,RA,31 May 2010,Education and Science Committee
34,Taxation (Budget Measures) Bill  Bill - government,155-1,RA,27 May 2010,
35,War Pensions Amendment Bill (No 2)  Bill - government,,RA,27 May 2010,
36,Government Superannuation Fund Amendment Act 1969 Amendment Bill  Bill - government,,RA,27 May 2010,
37,National Provident Fund Restructuring Amendment Bill  Bill - government,,RA,27 May 2010,
38,Social Security Amendment Bill  Bill - government,,RA,27 May 2010,
39,New Zealand Superannuation and Retirement Income Amendment Bill (No 2)  Bill - government,,RA,27 May 2010,
40,Electoral (Administration) Amendment Bill  Bill - government,93-2,RA,21 May 2010,Justice and Electoral Committee
41,Education Amendment Bill  Bill - government,25-2,RA,19 May 2010,Education and Science Committee
42,Waikato-Tainui Raupatu Claims (Waikato River) Settlement Bill  Bill - government,302-3,RA,07 May 2010,Māori Affairs Committee
43,Employment Relations (Statutory Minimum Redundancy Entitlements) Amendment Bill  Bill - member's,65-1,W,05 May 2010,
44,Smart Meters (Consumer Choice) Bill  Bill - member's,122-1,W,05 May 2010,
45,Tariff Act 1988 Repeal Bill  Bill - member's,137-1,W,05 May 2010,
46,Excise and Excise-equivalent Duties Table (Tobacco Products) Amendment Bill  Bill - government,145-1,RA,29 April 2010,
47,Head of State Referenda Bill  Bill - member's,92-1,W,21 April 2010,
48,Minimum Wage (Mitigation of Youth Unemployment) Amendment Bill  Bill - member's,123-1,W,21 April 2010,
49,Unit Titles Bill  Bill - government,212-3,RA,19 April 2010,Social Services Committee
0,Companies Amendment Bill  Bill - government,,RA,19 April 2010,
1,Conservation Amendment Bill  Bill - government,,RA,19 April 2010,
2,Designs Amendment Bill  Bill - government,,RA,19 April 2010,
3,Fisheries Amendment Bill  Bill - government,,RA,19 April 2010,
4,Gas Amendment Bill  Bill - government,,RA,19 April 2010,
5,Hazardous Substances and New Organisms Amendment Bill  Bill - government,,RA,19 April 2010,
6,Ministry of Agriculture and Fisheries (Restructuring) Amendment Bill  Bill - government,,RA,19 April 2010,
7,Reserves Amendment Bill  Bill - government,,RA,19 April 2010,
8,Weights and Measures Amendment Bill  Bill - government,,RA,19 April 2010,
9,Environment Canterbury (Temporary Commissioners and Improved Water Management) Bill  Bill - government,130-1,RA,12 April 2010,
10,Dairy Industry Restructuring (Raw Milk Pricing Methods) Bill  Bill - government,94-2,RA,08 April 2010,Primary Production Committee
11,Immigration Act 2009 Amendment Bill  Bill - government,129-1,RA,08 April 2010,
12,Regulatory Improvement Bill  Bill - government,298-2,3,01 April 2010,Commerce Committee
13,Maori Commercial Aquaculture Claims Settlement (Regional Agreements) Amendment Bill  Bill - government,31-2,RA,29 March 2010,Māori Affairs Committee
14,Appropriation (2008/09 Financial Review) Bill  Bill - government,110-1,RA,22 March 2010,
15,Judicial Conduct Commissioner and Judicial Conduct Panel (Deputy Commissioner and Disposal of Complaints) Amendment Bill  Bill - government,216-3A,RA,22 March 2010,
16,District Courts (District Court Judges) Amendment Bill  Bill - government,216-3B,RA,22 March 2010,
17,Judicature (Judicial Matters) Amendment Bill  Bill - government,216-3C,RA,22 March 2010,
18,Judicial Matters Bill  Bill - government,216-2,3,17 March 2010,Justice and Electoral Committee
19,Mental Health (Compulsory Assessment and Treatment) Amendment Bill  Bill - member's,113-1,W,17 March 2010,
20,Resource Management (Requiring Authorities) Amendment Bill  Bill - member's,115-1,W,17 March 2010,
21,"Children, Young Persons, and Their Families (Youth Courts Jurisdiction and Orders) Amendment Bill  Bill - government",16-2,RA,06 March 2010,Social Services Committee
22,Student Loan Scheme (Exemptions and Miscellaneous Provisions) Amendment Bill  Bill - government,59-2,RA,06 March 2010,Education and Science Committee
23,Accident Compensation Amendment Bill  Bill - government,90-2,,02 March 2010,Transport and Industrial Relations Committee
24,"Injury Prevention, Rehabilitation, and Compensation Amendment Bill  Bill - government",83-2,RA,24 February 2010,Transport and Industrial Relations Committee
25,Wanganui District Council (Port and Harbour) Bill  Bill - local,99-1,SC,16 February 2010,
26,Waka Umanga (Māori Corporations) Bill  Bill - government,175-2,CH,21 December 2009,Māori Affairs Committee
27,Legal Services Amendment Bill  Bill - government,218-2,RA,17 December 2009,Justice and Electoral Committee
28,Methodist Church of New Zealand Trusts Bill  Bill - private,29-2,RA,17 December 2009,Finance and Expenditure Committee
29,Cluster Munitions Prohibition Bill  Bill - government,52-2,RA,17 December 2009,"Foreign Affairs, Defence and Trade Committee"
30,Education (Polytechnics) Amendment Bill  Bill - government,70-3,RA,17 December 2009,Education and Science Committee
31,Subordinate Legislation (Confirmation and Validation) Bill  Bill - government,84-1,RA,17 December 2009,Regulations Review Committee
32,Shop Trading Hours Act 1990 Repeal (Easter Sunday Local Choice) Amendment Bill  Bill - member's,104-1,W,09 December 2009,
33,Corrections (Contract Management of Prisons) Amendment Bill  Bill - government,20-2,RA,07 December 2009,Law and Order Committee
34,Taxation (Consequential Rate Alignment and Remedial Matters) Bill  Bill - government,55-2,RA,07 December 2009,Finance and Expenditure Committee
35,Crimes (Provocation Repeal) Amendment Bill  Bill - government,64-2,RA,07 December 2009,Justice and Electoral Committee
36,Biosecurity Amendment Bill  Bill - government,77-2,RA,07 December 2009,Primary Production Committee
37,Remuneration Authority Amendment Bill  Bill - government,82-1,RA,07 December 2009,Transport and Industrial Relations Committee
38,Climate Change Response (Moderated Emissions Trading) Amendment Bill  Bill - government,85-1,RA,07 December 2009,Finance and Expenditure Committee
39,Policing (Constable's Oaths Validation) Amendment Bill  Bill - government,98-1,RA,07 December 2009,
40,Corrections (Use of Court Cells) Amendment Bill  Bill - government,106-1,RA,07 December 2009,
41,Customs and Excise Amendment Bill  Bill - government,,RA,07 December 2009,
42,Tariff Amendment Bill  Bill - government,,RA,07 December 2009,
43,"Border (Customs, Excise, and Tariff) Processing Bill  Bill - government",83-2,3,26 November 2009,Government Administration Committee
44,Serious Fraud Office (Abolition and Transitional Provisions) Bill  Bill - government,206-2,CH,24 November 2009,Law and Order Committee
45,Palmerston North Showgrounds Act Repeal Bill  Bill - private,219-1,RA,23 November 2009,Local Government and Environment Committee
46,Reserve Bank of New Zealand Amendment Bill  Bill - government,252-3A,RA,23 November 2009,
47,Securities Markets Amendment Bill  Bill - government,252-3B,RA,23 November 2009,
48,Personal Property Securities Amendment Bill  Bill - government,252-3C,RA,23 November 2009,
49,Securities Amendment Bill  Bill - government,252-3D,RA,23 November 2009,
0,Customs and Excise (Sustainable Forestry) Amendment Bill  Bill - member's,48-1,W,18 November 2009,
1,Climate Change (Government Vehicle Procurement) Bill  Bill - member's,74-1,W,18 November 2009,
2,Immigration Bill  Bill - government,132-3,RA,16 November 2009,Transport and Industrial Relations Committee
3,Insolvency Amendment Bill  Bill - government,19-2,RA,16 November 2009,Commerce Committee
4,Whakarewarewa and Roto-a-Tamaheke Vesting Bill  Bill - government,290-1,RA,06 November 2009,Māori Affairs Committee
5,Criminal Investigations (Bodily Samples) Amendment Bill  Bill - government,14-2,RA,02 November 2009,Justice and Electoral Committee
6,Crimes Amendment Bill  Bill - government,,RA,02 November 2009,
7,Local Government Amendment Bill  Bill - government,,RA,02 November 2009,
8,Sentencing Amendment Bill (No 3)  Bill - government,,RA,02 November 2009,
9,"Settlement Systems, Futures, and Emissions Units Bill  Bill - government",252-2,3,29 October 2009,Commerce Committee
10,Gangs and Organised Crime Bill  Bill - government,10-2,3,28 October 2009,Law and Order Committee
11,Sentencing (Offender Levy) Amendment Bill  Bill - government,12-3,RA,27 October 2009,Justice and Electoral Committee
12,Land Transport (Enforcement Powers) Amendment Bill  Bill - government,40-2,RA,27 October 2009,Transport and Industrial Relations Committee
13,Summary Proceedings (Vehicle Seizure) Amendment Bill  Bill - government,,RA,27 October 2009,
14,Privacy Amendment Bill  Bill - government,,RA,27 October 2009,
15,Sentencing (Vehicle Confiscation) Amendment Bill  Bill - government,,RA,27 October 2009,
16,New Zealand Superannuation and Retirement Income Amendment Bill  Bill - government,,RA,27 October 2009,
17,War Pensions Amendment Bill  Bill - government,,RA,27 October 2009,
18,Domestic Violence Amendment Bill  Bill - government,,RA,27 October 2009,
19,Bail Amendment Bill (No 2)  Bill - government,,RA,27 October 2009,
20,Sentencing Amendment Bill (No 2)  Bill - government,,RA,27 October 2009,
21,Social Assistance (Payment of New Zealand Superannuation and Veteran's Pension Overseas) Amendment Bill  Bill - government,301-2,3,21 October 2009,Social Services Committee
22,Domestic Violence (Enhancing Safety) Bill  Bill - government,9-2,3,21 October 2009,Justice and Electoral Committee
23,Vehicle Confiscation and Seizure Bill  Bill - government,42-2,3,21 October 2009,Transport and Industrial Relations Committee
